parent, map, numimages, MatchedSizes, Width, Height, CombWidth, CombHeight, IsOutput
summerset, crystaltower_trophy02_base, 9, True, 256, 256, 768, 768, True
shadowfen, hissmirruins_map, 9, True, 256, 256, 768, 768, True
vvardenfell, redorancouncilhall03_base, 9, True, 256, 256, 768, 768, True
shadowfen, onkobrakwamamine_base, 9, True, 256, 256, 768, 768, True
coldharbor, greatshackle1_base, 9, True, 256, 256, 768, 768, True
malabaltor, tempestislandsecave_base, 9, True, 256, 256, 768, 768, True
craglorn, dragonstararena09_base, 9, True, 256, 256, 768, 768, True
craglorn, aetherianarchivebottom_base, 9, True, 256, 256, 768, 768, True
craglorn, helracitadelentry_base, 9, True, 256, 256, 768, 768, True
grahtwood, coromount_base, 9, True, 256, 256, 768, 768, True
cyrodiil, iccoldharbonobels1_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_castlegiovesse1_base, 9, True, 256, 256, 768, 768, True
reach, halls_of_the_betrayed6_base, 9, True, 256, 256, 768, 768, True
craglorn, howlingsepulcherscave_base, 9, True, 256, 256, 768, 768, True
murkmire, mrkdwcave_base, 9, True, 256, 256, 768, 768, True
craglorn, aetherianarchiveislandc_base, 9, True, 256, 256, 768, 768, True
auridon, templeofthemourningspring_base, 9, True, 256, 256, 768, 768, True
malabaltor, ogrimsyawn_base, 9, True, 256, 256, 768, 768, True
reach, btharzelcapper_base, 9, True, 256, 256, 768, 768, True
stonefalls, the_ebonheart_harborage_base, 9, True, 256, 256, 768, 768, True
clockwork, oasis_map2_base, 9, True, 256, 256, 768, 768, True
summerset, crystaltower_library_base, 9, True, 256, 256, 768, 768, True
cyrodiil, toadstoolhollow_base, 9, True, 256, 256, 768, 768, True
temporarymaps, u30_borderwatchkeep, 25, True, 256, 256, 1280, 1280, True
stonefalls, davonswatch_base, 25, True, 256, 256, 1280, 1280, True
alikr, sentinel_base, 25, True, 256, 256, 1280, 1280, True
glenumbra, porthunding_base, 25, True, 256, 256, 1280, 1280, True
eastmarch, thebastardstomb_base, 9, True, 256, 256, 768, 768, True
reach, halls_of_the_betrayed2_base, 9, True, 256, 256, 768, 768, True
justice, banditden4_base, 9, True, 256, 256, 768, 768, True
vvardenfell, nchuleftingth5_base, 9, True, 256, 256, 768, 768, True
grahtwood, maarsmap05_base, 9, True, 256, 256, 768, 768, True
auridon, phaercatacombs_base, 9, True, 256, 256, 768, 768, True
craglorn, dragonstararena04_base, 9, True, 256, 256, 768, 768, True
coldharbor, thelostfleet_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, els_dg_laatvulonslair_base, 9, True, 256, 256, 768, 768, True
grahtwood, oldcreepycave_base, 9, True, 256, 256, 768, 768, True
coldharbor, manorofrevelryint02_base, 9, True, 256, 256, 768, 768, True
wrothgar, pathtothemoot_base, 9, True, 256, 256, 768, 768, True
blackwood, deadlands_vault_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_gideoncity_base, 25, True, 256, 256, 1280, 1280, True
elsweyr, khasdaskeep04_base, 9, True, 256, 256, 768, 768, True
auridon, vulkel_guard_prison_base, 9, True, 256, 256, 768, 768, True
greenshade, cityofashboss_base, 9, True, 256, 256, 768, 768, True
main, sancretor7_base, 9, True, 256, 256, 768, 768, True
auridon, buraniim_base, 9, True, 256, 256, 768, 768, True
therift, thelionsden_base, 9, True, 256, 256, 768, 768, True
eastmarch, thechillhollow_base, 9, True, 256, 256, 768, 768, True
summerset, sq5mephalaint01_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, senchalpalace01_base, 9, True, 256, 256, 768, 768, True
housing, psijicmanor_int1_base, 9, True, 256, 256, 768, 768, True
housing, lakemirexanmer_base, 25, True, 256, 256, 1280, 1280, True
southernelsweyr, hallsofhighmane_base, 9, True, 256, 256, 768, 768, True
thievesguild, bahrahasgloom_base, 9, True, 256, 256, 768, 768, True
justice, banditden4_room3_base, 9, True, 256, 256, 768, 768, True
deshaan, tribunaltemple_base, 9, True, 256, 256, 768, 768, True
malabaltor, crimsoncove02_base, 9, True, 256, 256, 768, 768, True
battlegrounds, foyada_base, 9, True, 256, 256, 768, 768, True
malabaltor, darkmoonschamber_base, 9, True, 256, 256, 768, 768, True
summerset, illuminationacademy_04_base, 9, True, 256, 256, 768, 768, True
craglorn, belkarth_base, 25, True, 256, 256, 1280, 1280, True
shadowfen, shadowscaleenclave_base, 9, True, 256, 256, 768, 768, True
temporarymaps, arpenial3_base, 9, True, 256, 256, 768, 768, True
cyrodiil, imperialsewer_daggerfall3_base, 36, True, 512, 512, 3072, 3072, True
vvardenfell, clockwork07_base, 9, True, 256, 256, 768, 768, True
alikr, rkulftzel_base, 9, True, 256, 256, 768, 768, True
alikr, santaki_base, 9, True, 256, 256, 768, 768, True
vvardenfell, clockwork04_base, 9, True, 256, 256, 768, 768, True
vvardenfell, clockwork05_base, 9, True, 256, 256, 768, 768, True
elsweyr, tombofserpents_base, 9, True, 256, 256, 768, 768, True
rivenspire, doomcragground_base, 9, True, 256, 256, 768, 768, True
elsweyr, rimmenpalacet_base, 9, True, 256, 256, 768, 768, True
eastmarch, eastmarchrefuge_base, 9, True, 256, 256, 768, 768, True
shadowfen, skinstealerlair_base, 9, True, 256, 256, 768, 768, True
craglorn, cryptoftarishzi_base, 9, True, 256, 256, 768, 768, True
eastmarch, direfrostkeepheroic_base, 9, True, 256, 256, 768, 768, True
justice, banditden11r2_base, 9, True, 256, 256, 768, 768, True
clockwork, ccq1_map3_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_deepscorn_hollow_base, 9, True, 256, 256, 768, 768, True
elsweyr, thescab_base, 9, True, 256, 256, 768, 768, True
coldharbor, wailingprison6_base, 9, True, 256, 256, 768, 768, True
bangkorai, razakswheel_base, 9, True, 256, 256, 768, 768, True
stormhaven, stormhavenoutlawrefuge_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, kvatchcity_base, 25, True, 256, 256, 1280, 1280, True
reapersmarch, hallsofichor_base, 9, True, 256, 256, 768, 768, True
reapersmarch, jodeslight_base, 9, True, 256, 256, 768, 768, True
summerset, monasteryoshfloor03_base, 9, True, 256, 256, 768, 768, True
murkmire, blightedbogcavern_base, 9, True, 256, 256, 768, 768, True
vvardenfell, coldbloodcavernrm01, 9, True, 256, 256, 768, 768, True
wrothgar, coldperchcavern_base, 9, True, 256, 256, 768, 768, True
summerset, russafeldredtemple01_base, 9, True, 256, 256, 768, 768, True
skyrim, blackreach_teaser_base, 9, True, 256, 256, 768, 768, True
malabaltor, hoarvorpit_base, 9, True, 256, 256, 768, 768, True
vvardenfell, coldbloodcavernrm02, 9, True, 256, 256, 768, 768, True
craglorn, dragonstararena08_base, 9, True, 256, 256, 768, 768, True
cyrodiil, wgtregentsquarters_base, 9, True, 256, 256, 768, 768, True
craglorn, shadacitydistrict_base, 9, True, 256, 256, 768, 768, True
guildmaps, chateauravenousrodent_base, 9, True, 256, 256, 768, 768, True
summerset, dreamingcave02_base, 9, True, 256, 256, 768, 768, True
murkmire, lilmothcity_base, 25, True, 256, 256, 1280, 1280, True
blackwood, u30_borderwatch_int_base, 9, True, 256, 256, 768, 768, True
wrothgar, sorrowint02_base, 9, True, 256, 256, 768, 768, True
elsweyr, sunspireroom001_base, 9, True, 256, 256, 768, 768, True
craglorn, seekersarchiveup_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_borderwatchkeep, 25, True, 256, 256, 1280, 1280, True
craglorn, aetherianarchiveislandb_base, 9, True, 256, 256, 768, 768, True
glenumbra, glenumbra_base, 4, True, 1024, 1024, 2048, 2048, True
tutorial, uprootedhideout_dc2_base, 9, True, 256, 256, 768, 768, True
clockwork, ccq5_fl2_base, 9, True, 256, 256, 768, 768, True
deshaan, narsisruins_base, 9, True, 256, 256, 768, 768, True
housing, u31_housing_sweetwater, 9, True, 256, 256, 768, 768, True
blackwood, u30_gideonfightclub_base, 9, True, 256, 256, 768, 768, True
summerset, seakeep_01_base, 9, True, 256, 256, 768, 768, True
greenshade, imperialundergroundpart2_base, 9, True, 256, 256, 768, 768, True
vvardenfell, hlaren_base, 9, True, 256, 256, 768, 768, True
coldharbor, aba-loria_base, 9, True, 256, 256, 768, 768, True
elsweyr, rimmenpalacecourtyard_base, 9, True, 256, 256, 768, 768, True
therift, therift_base, 4, True, 1024, 1024, 2048, 2048, True
murkmire, themists04_base, 9, True, 256, 256, 768, 768, True
craglorn, reinholdsretreatcave_base, 9, True, 256, 256, 768, 768, True
temporarymaps, u31_housing_doomchar, 9, True, 256, 256, 768, 768, True
clockwork, oasis_map3_base, 9, True, 256, 256, 768, 768, True
eastmarch, mistwatchcrevassecrypt_base, 9, True, 256, 256, 768, 768, True
elsweyr, sugarslingersden01a_base, 9, True, 256, 256, 768, 768, True
wrothgar, oldorsiniummap04_base, 9, True, 256, 256, 768, 768, True
vvardenfell, vivecthroneroom01_base, 9, True, 256, 256, 768, 768, True
elsweyr, khasdaskeep06_base, 9, True, 256, 256, 768, 768, True
stonefalls, hozzinsfolley_base, 9, True, 256, 256, 768, 768, True
reapersmarch, thevilemansefirstfloor_base, 9, True, 256, 256, 768, 768, True
coldharbor, caveoftrophiesupper_base, 9, True, 256, 256, 768, 768, True
bangkorai, viridianwatch_base, 9, True, 256, 256, 768, 768, True
stormhaven, ui_map_scalecaller003_base, 9, True, 256, 256, 768, 768, True
rivenspire, erokii_base, 9, True, 256, 256, 768, 768, True
elsweyr, khasdaskeep05_base, 9, True, 256, 256, 768, 768, True
elsweyr, moonsurface_base, 25, True, 256, 256, 1280, 1280, True
reapersmarch, mhkmoonhunterkeep2_base, 9, True, 256, 256, 768, 768, True
stormhaven, bonesnapruins_base, 9, True, 256, 256, 768, 768, True
alikr, magistratesbasement_base, 9, True, 256, 256, 768, 768, True
reach, briarrockruins_ext_base, 9, True, 256, 256, 768, 768, True
reach, markunderstonekeep_base, 9, True, 256, 256, 768, 768, True
reapersmarch, fullmoonschamber_base, 9, True, 256, 256, 768, 768, True
housing, stillwatersretreatint1_base, 9, True, 256, 256, 768, 768, True
therift, nimaltenpart2_base, 9, True, 256, 256, 768, 768, True
vvardenfell, vivecstdelyn02a_base, 9, True, 256, 256, 768, 768, True
summerset, karndar_01_base, 9, True, 256, 256, 768, 768, True
rivenspire, hoarfrost_base, 25, True, 256, 256, 1280, 1280, True
housing, glenumbramanorintf1_base, 9, True, 256, 256, 768, 768, True
justice, banditden4_room5_base, 9, True, 256, 256, 768, 768, True
vvardenfell, pinsun_base, 9, True, 256, 256, 768, 768, True
main, heartsgrief2_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, knightsgrave03_base, 9, True, 256, 256, 768, 768, True
summerset, ceytarn_dungeon01_base, 9, True, 256, 256, 768, 768, True
housing, lakemirexanmer1_base, 9, True, 256, 256, 768, 768, True
greenshade, greenshade_base, 4, True, 1024, 1024, 2048, 2048, True
southernelsweyr, dragonholdisland_int02_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_tidewatercave_base, 9, True, 256, 256, 768, 768, True
clockwork, clockwork_base, 16, True, 512, 512, 2048, 2048, True
thievesguild, aldanobitombdungeon_base, 9, True, 256, 256, 768, 768, True
wrothgar, fharunstronghold03_base, 9, True, 256, 256, 768, 768, True
clockwork, ccq1_map2_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, dragonholdlower01_base, 9, True, 256, 256, 768, 768, True
deadlands, u32_griefext_base, 25, True, 256, 256, 1280, 1280, True
craglorn, ui_map_falkreathsdemise_i_base, 9, True, 256, 256, 768, 768, True
glenumbra, north_hut_portal_cave_base, 9, True, 256, 256, 768, 768, True
thievesguild, deathhollowhalls_base, 9, True, 256, 256, 768, 768, True
greenshade, shroudedhollowarea1_base, 9, True, 256, 256, 768, 768, True
rivenspire, lorkrataruinsa_base, 9, True, 256, 256, 768, 768, True
auridon, delsclaim_base, 9, True, 256, 256, 768, 768, True
stormhaven, portdunwatch_base, 9, True, 256, 256, 768, 768, True
craglorn, dragonstararena07_base, 9, True, 256, 256, 768, 768, True
skyrim, castlethorn_int_01, 9, True, 256, 256, 768, 768, True
housing, lakemirexanmer3_base, 9, True, 256, 256, 768, 768, True
bangkorai, the_guardians_skull_base, 9, True, 256, 256, 768, 768, True
craglorn, aetherianarchivemiddle_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_pantherfang_int2_1_base, 9, True, 256, 256, 768, 768, True
battlegrounds, istirus_base, 9, True, 256, 256, 768, 768, True
temporarymaps, bwp2deadlands_base, 9, True, 256, 256, 768, 768, True
grahtwood, themiddens_base, 9, True, 256, 256, 768, 768, True
skyrim, midnightsk5barrow_base, 9, True, 256, 256, 768, 768, True
temporarymaps, blackwood_base, 16, True, 512, 512, 2048, 2048, True
elsweyr, cicatriceoasisupperfloor_base, 9, True, 256, 256, 768, 768, True
thievesguild, glitteringgrotto_room2_base, 9, True, 256, 256, 768, 768, True
craglorn, rkundzelft_base, 9, True, 256, 256, 768, 768, True
skyrim, bastionsanguinaris_int01_base, 9, True, 256, 256, 768, 768, True
glenumbra, west_hut_portal_cave_base, 9, True, 256, 256, 768, 768, True
grahtwood, barkbitemine_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, orderenclave01_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_oblivion_portal_tower_base, 9, True, 256, 256, 768, 768, True
vvardenfell, forgottendepthsfw04_base, 9, True, 256, 256, 768, 768, True
summerset, crystaltower_unfolding_base, 9, True, 256, 256, 768, 768, True
therift, blessedcrucible6_base, 9, True, 256, 256, 768, 768, True
main, castleoftheworm2_base, 9, True, 256, 256, 768, 768, True
guildmaps, gladeofthedivineshivering_base, 9, True, 256, 256, 768, 768, True
summerset, seakeep_03_base, 9, True, 256, 256, 768, 768, True
cyrodiil, iccoldharboraboretum2_base, 9, True, 256, 256, 768, 768, True
craglorn, shadamaincity_base, 9, True, 256, 256, 768, 768, True
shadowfen, stormhold_base, 25, True, 256, 256, 1280, 1280, True
southernelsweyr, southernelsweyr_base, 16, True, 512, 512, 2048, 2048, True
stonefalls, fungalgrotto_base, 9, True, 256, 256, 768, 768, True
stonefalls, balfoyen_base, 25, True, 256, 256, 1280, 1280, True
darkbrotherhood, athimahmanson02_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, goldcoastrefuge_base, 9, True, 256, 256, 768, 768, True
elsweyr, dragonguardoutpost_base, 9, True, 256, 256, 768, 768, True
wrothgar, sanctumofprowess_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, knightsgrave04_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_deadlandskeep_ext_base, 9, True, 256, 256, 768, 768, True
bangkorai, hircineswoods_group_base, 9, True, 256, 256, 768, 768, True
deshaan, valeoftheghostsnake_base, 9, True, 256, 256, 768, 768, True
summerset, sum_karnwasten_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_welke_upper_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, orderenclave02_base, 9, True, 256, 256, 768, 768, True
murkmire, withervault_base, 9, True, 256, 256, 768, 768, True
vvardenfell, vassamsigrotto_base, 9, True, 256, 256, 768, 768, True
therift, arcwindpoint_base, 4, True, 512, 512, 1024, 1024, True
blackwood, bw_easterntunnel_base, 9, True, 256, 256, 768, 768, True
therift, trolhettasummit_base, 9, True, 256, 256, 768, 768, True
temporarymaps, ne_salas_vault1_base, 9, True, 256, 256, 768, 768, True
alikr, the_portal_chamber_map_base, 9, True, 256, 256, 768, 768, True
vvardenfell, zainsipilu_base, 9, True, 256, 256, 768, 768, True
vvardenfell, vivecstdelyn01_base, 9, True, 256, 256, 768, 768, True
grahtwood, grahtwoodoutlawrefuge_base, 9, True, 256, 256, 768, 768, True
skyrim, lightlesshollow_mines01_base, 9, True, 256, 256, 768, 768, True
justice, banditden1_main_base, 9, True, 256, 256, 768, 768, True
elsweyr, moongate_base, 25, True, 256, 256, 1280, 1280, True
shadowfen, stormholdayleidruin_base, 9, True, 256, 256, 768, 768, True
wrothgar, arenaswrothgarexterior_base, 9, True, 256, 256, 768, 768, True
shadowfen, ui_map_mazzatunint002_base, 9, True, 256, 256, 768, 768, True
greenshade, islesoftorment_base, 9, True, 256, 256, 768, 768, True
glenumbra, daggerfall_base, 25, True, 256, 256, 1280, 1280, True
reapersmarch, senelana_base, 9, True, 256, 256, 768, 768, True
deshaan, lowerbthanuel_base, 9, True, 256, 256, 768, 768, True
summerset, collegeofpsijicsruins_base, 9, True, 256, 256, 768, 768, True
thievesguild, sulimamansion_floor2_hidden, 9, True, 256, 256, 768, 768, True
alikr, coldrockdiggings_base, 9, True, 256, 256, 768, 768, True
cyrodiil, imperialsewer_ebonheart3b_base, 36, True, 512, 512, 3072, 3072, True
glenumbra, east_hut_portal_cave_base, 9, True, 256, 256, 768, 768, True
shadowfen, ui_cradleofshadowsint_002_base, 9, True, 256, 256, 768, 768, True
alikr, yokudanpalace_base, 9, True, 256, 256, 768, 768, True
auridon, saltspray_base, 9, True, 256, 256, 768, 768, True
wrothgar, rkindaleftoutside_base, 9, True, 256, 256, 768, 768, True
stormhaven, ui_map_scalecaller004_base, 9, True, 256, 256, 768, 768, True
therift, taarengrav_base, 9, True, 256, 256, 768, 768, True
glenumbra, carzogsdemise_base, 9, True, 256, 256, 768, 768, True
deshaan, deshaan_base, 16, True, 512, 512, 2048, 2048, True
elsweyr, cicatriceoasis_base, 9, True, 256, 256, 768, 768, True
shadowfen, ui_map_mazzatunext_base, 9, True, 256, 256, 768, 768, True
reapersmarch, clawsstrike_base, 9, True, 256, 256, 768, 768, True
craglorn, molavar_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, dragonholdlower03_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, castleanvil03a_base, 9, True, 256, 256, 768, 768, True
deadlands, u32_agonysascent_int04_base, 9, True, 256, 256, 768, 768, True
stonefalls, dhalmora_base, 25, True, 256, 256, 1280, 1280, True
reach, vateshransrites01a, 9, True, 256, 256, 768, 768, True
housing, u32_agonysascent_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_balfiera_int1_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, knightsgrave01_base, 9, True, 256, 256, 768, 768, True
coldharbor, grundasgatehousemain_base, 9, True, 256, 256, 768, 768, True
wrothgar, sorrowint01_base, 9, True, 256, 256, 768, 768, True
elsweyr, desertwind2a_base, 9, True, 256, 256, 768, 768, True
glenumbra, rpb_map_ext001, 9, True, 256, 256, 768, 768, True
coldharbor, blackforge_base, 9, True, 256, 256, 768, 768, True
thievesguild, fulstromcatacombs_base, 9, True, 256, 256, 768, 768, True
wrothgar, oldorsiniummap06_base, 9, True, 256, 256, 768, 768, True
auridon, the_aldmiri_harborage_map_base, 9, True, 256, 256, 768, 768, True
grahtwood, reliquaryofstars_base, 9, True, 256, 256, 768, 768, True
thievesguild, secludedsewers_base, 9, True, 256, 256, 768, 768, True
therift, riftoutlaw_base, 9, True, 256, 256, 768, 768, True
main, visionofthecompanions_base, 9, True, 256, 256, 768, 768, True
glenumbra, dourstonevault_base, 9, True, 256, 256, 768, 768, True
events, event_gardenofshadows_base, 25, True, 256, 256, 1280, 1280, True
darkbrotherhood, db3jerallmountains_base, 25, True, 256, 256, 1280, 1280, True
stonefalls, iliathtempletunnels_base, 9, True, 256, 256, 768, 768, True
clockwork, ui_map_asylumsanctorum002_base, 9, True, 256, 256, 768, 768, True
grahtwood, newmoonschamber_base, 9, True, 256, 256, 768, 768, True
thievesguild, undergroundsepulcher_main, 9, True, 256, 256, 768, 768, True
summerset, torhamekhard_01_base, 9, True, 256, 256, 768, 768, True
elsweyr, weepingscar_f2_base, 9, True, 256, 256, 768, 768, True
deshaan, bthanual_base, 9, True, 256, 256, 768, 768, True
elsweyr, abodeofignominy_base, 9, True, 256, 256, 768, 768, True
greenshade, theunderroot_base, 9, True, 256, 256, 768, 768, True
summerset, dreamingcave01_base, 9, True, 256, 256, 768, 768, True
wrothgar, rkindaleftint02_base, 9, True, 256, 256, 768, 768, True
clockwork, ventralterminus02_base, 9, True, 256, 256, 768, 768, True
reapersmarch, reapersmarch_base, 4, True, 1024, 1024, 2048, 2048, True
housing, halloflunarchampion.base, 25, True, 256, 256, 1280, 1280, True
darkbrotherhood, orderenclave03_base, 9, True, 256, 256, 768, 768, True
stormhaven, stormhaven_base, 49, True, 256, 256, 1792, 1792, True
wrothgar, graystonequarrybottom_base, 9, True, 256, 256, 768, 768, True
elsweyr, cicatriceoasisbossroom_base, 9, True, 256, 256, 768, 768, True
battlegrounds, arcane_base, 9, True, 256, 256, 768, 768, True
vvardenfell, coldbloodcavernrm03, 9, True, 256, 256, 768, 768, True
deshaan, darkshadecavernsheroic_base, 9, True, 256, 256, 768, 768, True
vvardenfell, coldbloodcavernrm04, 9, True, 256, 256, 768, 768, True
vvardenfell, dyzerarealm, 9, True, 256, 256, 768, 768, True
glenumbra, aldcroft_base, 25, True, 256, 256, 1280, 1280, True
skyrim, morkhazgurmine_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_leyawiincity_base, 25, True, 256, 256, 1280, 1280, True
craglorn, cryptoftarishzizone_base, 25, True, 256, 256, 1280, 1280, True
elsweyr, rimmenoutlawsrefuge_base, 9, True, 256, 256, 768, 768, True
skyrim, westernskryim_base, 16, True, 512, 512, 2048, 2048, True
malabaltor, malabaltor_base, 9, True, 512, 512, 1536, 1536, True
vvardenfell, vivecsdelyn03b_base, 9, True, 256, 256, 768, 768, True
greenshade, harridanslair_base, 9, True, 256, 256, 768, 768, True
wrothgar, honorsrestfinalc_base, 9, True, 256, 256, 768, 768, True
stonefalls, davonswatchcrypt_base, 9, True, 256, 256, 768, 768, True
skyrim, greymooreintsec01_base, 9, True, 256, 256, 768, 768, True
housing, huntersglade_int_base, 9, True, 256, 256, 768, 768, True
vvardenfell, ashalmawia_base, 9, True, 256, 256, 768, 768, True
blackwood, tdc_map_inside_001, 9, True, 256, 256, 768, 768, True
glenumbra, stonetoothfortress_base, 25, True, 256, 256, 1280, 1280, True
thievesguild, undergroundsepulcher_tunnel, 9, True, 256, 256, 768, 768, True
elsweyr, orcrestsewer_base, 9, True, 256, 256, 768, 768, True
reach, u28_shatterstonemine_base, 9, True, 256, 256, 768, 768, True
skyrim, icenecro_base, 9, True, 256, 256, 768, 768, True
deadlands, u32_ws_wakingflame_base, 9, True, 256, 256, 768, 768, True
cyrodiil, echocave_base, 9, True, 256, 256, 768, 768, True
reach, btharzel_base, 9, True, 256, 256, 768, 768, True
eastmarch, direfrostkeepsummit_base, 9, True, 256, 256, 768, 768, True
deadlands, u32deadlandszone_base, 16, True, 512, 512, 2048, 2048, True
cyrodiil, wgtimperialguardquarters_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, castlekvatch03_base, 9, True, 256, 256, 768, 768, True
skyrim, greymooreintsec03_base, 9, True, 256, 256, 768, 768, True
skyrim, thescraps_base, 9, True, 256, 256, 768, 768, True
reapersmarch, moonmonttemple_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_pantherfang_int1_base, 9, True, 256, 256, 768, 768, True
summerset, karndar_03b_base, 9, True, 256, 256, 768, 768, True
reach, u28_hallsofarthzandcap3_base, 9, True, 256, 256, 768, 768, True
grahtwood, rajhinsvault_base, 9, True, 256, 256, 768, 768, True
grahtwood, redfurtradingpost_base, 25, True, 256, 256, 1280, 1280, True
skyrim, nchuthnkarst_base, 9, True, 256, 256, 768, 768, True
deshaan, mournhold_base, 25, True, 256, 256, 1280, 1280, True
skyrim, shadowgreen_exit_ramp_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, dragonholdlower02_base, 9, True, 256, 256, 768, 768, True
summerset, corgradwastehigher2_base, 9, True, 256, 256, 768, 768, True
craglorn, skyreachhold3_base, 9, True, 256, 256, 768, 768, True
vvardenfell, drinithtombfw01b_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, jonelightpassage_base, 9, True, 256, 256, 768, 768, True
summerset, illuminationacademy_01_base, 9, True, 256, 256, 768, 768, True
coldharbor, reavercitadelpyramid_base, 9, True, 256, 256, 768, 768, True
craglorn, balamath_base, 25, True, 256, 256, 1280, 1280, True
elsweyr, sepulcherofmischance04_base, 9, True, 256, 256, 768, 768, True
bangkorai, unhallowedgravemap004, 9, True, 256, 256, 768, 768, True
